document_name,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
analysi,0.08334816,0.08334945,0.08368344,0.08334883,0.5820223,0.08424781
now,0.08385534,0.58065754,0.08464152,0.083386846,0.08410153,0.08335722
support,0.08421718,0.083832085,0.08352141,0.58102745,0.08352444,0.083877385
model,0.08333867,0.08357813,0.58238626,0.08352548,0.08353089,0.0836406
Y,0.08335725,0.08335891,0.58321005,0.0833581,0.08335826,0.083357416
just,0.083647,0.08334833,0.0836762,0.083347954,0.08334799,0.58263254
select,0.58145446,0.08352844,0.083774544,0.083338015,0.08378071,0.08412382
model,0.08333867,0.08357649,0.5823867,0.08352519,0.0835306,0.083642334
3,0.08379603,0.083628826,0.5821343,0.08354464,0.08355979,0.083336405
insid,0.08336892,0.08337123,0.08421017,0.0846653,0.5810148,0.08336953
thi,0.08354076,0.083539546,0.08465039,0.083623946,0.083353765,0.58129156
give,0.08371189,0.08333957,0.5816728,0.08333894,0.08352647,0.0844103
numer,0.08334869,0.08334974,0.5817389,0.0833492,0.0833491,0.08486436
live,0.08475778,0.5812617,0.0836487,0.08334613,0.08334601,0.08363972
statist,0.08398065,0.084360644,0.083982944,0.083341986,0.0833419,0.58099186
batteri,0.08334846,0.08334984,0.5828589,0.083349116,0.08334921,0.083744414
power,0.08433621,0.08366245,0.08399009,0.08428481,0.58017915,0.0835473
voltag,0.083357215,0.083358854,0.58321023,0.08335806,0.08335824,0.0833574
current,0.08347376,0.083340205,0.5827995,0.083339855,0.08356046,0.083486214
temperatur,0.08334104,0.5824069,0.08404291,0.08334147,0.0833414,0.083526336
drive,0.08354782,0.08353118,0.08375025,0.08426417,0.5814881,0.08341854
unit,0.083355546,0.08335723,0.083858944,0.0833562,0.08419136,0.58188075
electr,0.08335555,0.08335741,0.083864376,0.083356455,0.08335658,0.5827096
power,0.0844231,0.08366346,0.083992906,0.0842757,0.5800969,0.08354791
torqu,0.083362,0.58251905,0.0840305,0.08336301,0.08336314,0.08336228
horsepow,0.08338973,0.0833933,0.5830431,0.08339164,0.083392024,0.08339018
rpm,0.08334552,0.58298945,0.08362739,0.08334597,0.08334601,0.083345674
temperatur,0.08334103,0.5824202,0.08402972,0.08334146,0.08334139,0.08352619
batteri,0.083348416,0.08334979,0.58288795,0.08334907,0.08334916,0.08371558
lifetim,0.08338975,0.0833933,0.58304304,0.083391674,0.08339208,0.0833902
stat,0.08338967,0.0833932,0.5830436,0.0833915,0.083391935,0.083390124
capac,0.0833897,0.083393246,0.5830434,0.08339152,0.08339198,0.08339015
estim,0.083389744,0.08339333,0.58304304,0.08339168,0.08339202,0.08339019
mileag,0.083345614,0.5829893,0.08362753,0.083345905,0.08334608,0.08334559
12v,0.083389774,0.08339337,0.5830429,0.083391644,0.0833921,0.083390206
system,0.08339904,0.08364474,0.08411146,0.08334065,0.08358762,0.5819165
current,0.083473615,0.083340205,0.5827996,0.083339855,0.08356069,0.08348602
voltag,0.083357215,0.083358854,0.58321023,0.08335806,0.08335824,0.0833574
temperatur,0.08334105,0.58236665,0.08408263,0.08334148,0.083341405,0.08352677
